id,type,manufacturer,serie,model,platform,cores,memory,tdp,process,die,transistors
amd-alveo-ma35d,asic,amd,alveo,ma35d,asic,0,16,40,5,0,0
amd-alveo-u30,asic,amd,alveo,u30,ultrascale,0,8,25,16,0,0
amd-alveo-u250,fpga,amd,alveo,u250,ultrascale,0,64,225,16,0,0
amd-radeon-mi25,gpu,amd,radeon,mi25,instinct,4096,16,300,14,495,12500
amd-radeon-mi300x,gpu,amd,radeon,mi300x,instinct,19456,192,750,5,1017,153000
amd-radeon-v520,gpu,amd,radeon,v520,navi,2304,8,225,7,250,10300
amd-radeon-v620,gpu,amd,radeon,v620,navi,4608,32,300,7,520,26800
amd-radeon-v710,gpu,amd,radeon,v710,navi,3456,28,158,5,346,28100
amd-virtex-vu47p,fpga,amd,virtex,vu47p,ultrascale,0,16,100,16,0,0
aws-inferencia-1,asic,aws,inferencia,1,neuroncore-1,4,32,100,16,0,0
aws-inferencia-2,asic,aws,inferencia,2,neuroncore-2,2,32,250,7,0,0
aws-trainium-1,asic,aws,trainium,1,neuroncore-2,2,32,400,7,0,0
aws-trainium-2,asic,aws,trainium,2,neuroncore-3,8,96,500,7,0,0
intel-gaudi-1,asic,intel,gaudi,1,gaudi,8,32,350,16,0,0
nvidia-grid-k520,gpu,nvidia,grid,k520,kepler,3072,8,225,28,294,3540
nvidia-tesla-a10,gpu,nvidia,tesla,a10,ampere,9216,24,150,8,628,28300
nvidia-tesla-a10040,gpu,nvidia,tesla,a100,ampere,6912,40,250,7,826,54200
nvidia-tesla-a10080,gpu,nvidia,tesla,a100,ampere,6912,80,300,7,826,54200
nvidia-tesla-h10080,gpu,nvidia,tesla,h100,hopper,14592,80,350,5,814,80000
nvidia-tesla-h10094,gpu,nvidia,tesla,h100,hopper,14592,94,350,5,814,80000
nvidia-tesla-h200,gpu,nvidia,tesla,h200,hopper,16896,141,600,5,814,80000
nvidia-tesla-k80,gpu,nvidia,tesla,k80,kepler,2496,24,300,28,561,7100
nvidia-tesla-l4,gpu,nvidia,tesla,l4,ada,7424,24,72,5,294,35800
nvidia-tesla-l40s,gpu,nvidia,tesla,l40s,ada,18176,48,300,5,609,76300
nvidia-tesla-m60,gpu,nvidia,tesla,m60,maxwell,4096,16,300,28,398,5200
nvidia-tesla-p10012,gpu,nvidia,tesla,p100,pascal,3584,12,250,16,610,15300
nvidia-tesla-p10016,gpu,nvidia,tesla,p100,pascal,3584,16,250,16,610,15300
nvidia-tesla-p40,gpu,nvidia,tesla,p40,pascal,3840,24,250,16,471,11800
nvidia-tesla-t4,gpu,nvidia,tesla,t4,turing,2560,16,70,12,545,13600
nvidia-tesla-v10016,gpu,nvidia,tesla,v100,volta,5120,16,250,12,815,21100
nvidia-tesla-v10032,gpu,nvidia,tesla,v100,volta,5120,32,250,12,815,21100
qualcomm-ai100-standard,asic,qualcomm,ai100,standard,cloud ai,16,16,75,7,0,0
