id,name,provider,lat,lon,location,country,subdivision,pue,wue,ref
asia-east,East Asia,azure,22.267,114.188,Hong Kong,hk,,1.405,1.65,0
asia-south-east,Southeast Asia,azure,1.283,103.833,Singapore,sg,,1.358,2.06,0.13
at-central,Austria East,azure,48.20849,16.37208,Vienna,at,,1.12,0.023,0.79
aus-central,Australia Central,azure,-35.3075,149.1244,Canberra,au,,1.405,1.65,0
aus-central-2,Australia Central 2,azure,-35.3075,149.1244,Canberra,au,,1.405,1.65,0
aus-east,Australia East,azure,-33.86,151.2094,New South Wales,au,,1.12,0.012,0.28
aus-south-east,Australia Southeast,azure,-37.8136,144.9631,Victoria,au,,1.12,0.012,0.28
bra-south,Brazil South,azure,-23.55,-46.633,Sao Paulo State,br,,1.12,0.039,0.05
bra-south-east,Brazil Southeast,azure,-22.90278,-43.2075,Rio,br,,1.17,0.55,0
can-central,Canada Central,azure,43.653,-79.383,Toronto,ca,on,1.17,0.55,0
can-east,Canada East,azure,46.817,-71.217,Quebec,ca,qc,1.17,0.55,0
dk-east,Denmark East,azure,55.676098,12.568337,Copenhagen,dk,,1.16,0.01,0.1
es-central,Spain Central,azure,40.416775,-3.70379,Madrid,es,,1.12,0.06,0.15
eu-north,North Europe,azure,53.3478,-6.2597,Ireland,ie,,1.197,0.03,0.49
eu-west,West Europe,azure,52.3667,4.9,Netherlands,nl,,1.158,0.08,0.79
fi-central,Finland Central,azure,60.192059,24.945831,Helsinki,fi,,1.112,0.01,0.1
fr-central,France Central,azure,46.3772,2.373,Paris,fr,,1.185,0.1,0
fr-south,France South,azure,43.8345,2.1972,Marseille,fr,,1.185,0.1,0
ger-north,Germany North,azure,53.073635,8.806422,Berlin,de,,1.185,0.1,0
ger-west-central,Germany West Central,azure,50.110924,8.682127,Frankfurt,de,,1.185,0.1,0
gr-central,Greece Central,azure,37.98381,23.727539,Athens,gr,,1.12,0.102,0
id-central,Indonesia Central,azure,-6.21462,106.84513,Jakarta,id,,1.32,1.9,0.13
ind-central,Central India,azure,18.5822,73.9197,Pune,in,,1.405,1.65,0
ind-south,South India,azure,12.9822,80.1636,Chennai,in,,1.405,1.65,0
ind-southcentral,India South Central,azure,17.38714,78.491684,Hyderabad,in,,1.43,0,0.46
ind-west,West India,azure,19.088,72.868,Mumbai,in,,1.405,1.65,0
it-central,Italy North,azure,45.464664,9.18854,Milan,it,,1.12,0.023,0.15
jap-east,Japan East,azure,35.68,139.77,"Tokyo, Saitama",jp,,1.405,1.65,0
jap-west,Japan West,azure,34.6939,135.5022,Osaka,jp,,1.405,1.65,0
kor-central,Korea Central,azure,37.5665,126.978,Seoul,kr,,1.405,1.65,0
kor-south,Korea South,azure,35.1796,129.0756,Busan,kr,,1.12,0.34,0.11
mx-central,Mexico Central,azure,20.835996656,-99.85082993,Querétaro State,mx,,1.12,0.056,0
norw-east,Norway East,azure,59.913868,10.752245,Norway,no,,1.185,0.1,0
norw-west,Norway West,azure,58.969975,5.733107,Norway,no,,1.185,0.1,0
nz-north,New Zealand North,azure,-36.848461,174.763336,Auckland,nz,,1.12,0,0
pl-central,Poland Central,azure,52.237049,21.017532,Warsaw,pl,,1.12,0.023,0
saf-north,South Africa North,azure,-25.73134,28.21837,Johannesburg,za,,1.185,0.1,0
saf-west,South Africa West,azure,-34.075691,18.843266,Cape Town,za,,1.185,0.1,0
se-central,Sweden Central,azure,60.67452,17.14174,Gävle,se,,1.172,0.16,0
swz-north,Switzerland North,azure,47.451542,8.564572,Zurich,ch,,1.185,0.1,0
swz-west,Switzerland West,azure,46.204391,6.143158,Geneva,ch,,1.185,0.1,0
tw-north,Taiwan North,azure,25.105497,121.597366,Taipei,tw,,1.2,1,0
uae-central,UAE Central,azure,24.466667,54.366669,Abu Dhabi,ae,,1.185,0.1,0
uae-north,UAE North,azure,25.266666,55.316666,Dubai,ae,,1.185,0.1,0
uk-south,UK South,azure,50.941,-0.799,London,gb,,1.185,0.1,0
uk-west,UK West,azure,53.427,-3.084,Cardiff,gb,,1.185,0.1,0
us-central,Central US,azure,41.5908,-93.6208,Des Moines,us,ia,1.16,0.19,1
us-east,East US,azure,37.3719,-79.8164,Virginia,us,va,1.144,0.17,0.7
us-east-2,East US 2,azure,36.6681,-78.3889,Virginia,us,va,1.144,0.17,0.7
us-east-3,East US 3,azure,33.753746,-84.38633,Atlanta,us,ga,1.12,0.06,0.08
us-north-central,North Central US,azure,41.8819,-87.6278,Illinois,us,il,1.346,0.79,0.7
us-south-central,South Central US,azure,29.4167,-98.5,San Antonio,us,tx,1.307,1.82,1
us-west,West US,azure,37.783,-122.417,California,us,ca,1.55,0,0.55
us-west-2,West US 2,azure,47.233,-119.852,Washington,us,wa,1.156,1.09,0.47
us-west-3,West US 3,azure,33.448376,-112.074036,Phoenix,us,az,1.223,2.24,0.47
us-west-central,West Central US,azure,40.89,-110.234,Wyoming,us,wy,1.125,0.23,0.47
