alpha-2;distance;continent
AD;12,00809637;Europe
AE;163,1834861;Asia
AF;455,6420366;Asia
AG;11,86140673;North America
AI;5,698035485;North America
AL;95,65967075;Europe
AM;97,39422266;Europe
AN;17,48077489;North America
AO;629,9499465;Africa
AR;938,4711624;South America
AT;163,3794064;Europe
AU;1564,224956;Oceania
AW;7,837972189;North America
AZ;166,029022;Europe
BA;127,702664;Europe
BB;11,71288013;North America
BD;214,0934072;Asia
BE;102,6670033;Europe
BF;295,4328533;Africa
BG;187,9640591;Europe
BH;14,69061275;Asia
BI;94,12670913;Africa
BJ;189,3375187;Africa
BM;4,107362167;North America
BN;42,83755938;Asia
BO;591,3452402;South America
BR;1646,034109;South America
BS;66,61022071;North America
BT;121,8179252;Asia
BW;437,1548272;Africa
BY;257,0594111;Europe
BZ;85,49473619;North America
CA;1781,994296;North America
CC;2,111004123;Asia
CF;445,3110892;Africa
CG;329,9423905;Africa
CH;114,6402136;Europe
CI;320,3797135;Africa
CK;8,740387445;Oceania
CL;490,8595286;South America
CM;389,0217075;Africa
CN;1745,560813;Asia
CO;602,8512884;South America
CR;127,5068459;North America
CU;187,8514101;North America
CV;35,82937023;Africa
CX;6,555290584;Asia
CY;54,26494962;Europe
CZ;158,4398651;Europe
DE;337,2537325;Europe
DJ;85,93479714;Africa
DK;117,1206482;Europe
DM;15,4612653;North America
DO;124,5492432;North America
DZ;870,7075896;Africa
EC;296,2484238;South America
EE;119,9841707;Europe
EG;564,5981909;Africa
EH;290,9818374;Africa
ER;196,5129904;Africa
ES;401,3105533;Europe
ET;598,9788536;Africa
FI;327,3238145;Europe
FJ;76,39093626;Oceania
FK;62,24778104;South America
FM;15,00150291;Oceania
FO;21,10250058;Europe
FR;417,2814204;Europe
GA;291,8921929;Africa
GB;278,7519082;Europe
GD;10,47935641;North America
GE;148,9503242;Europe
GF;170,1945935;South America
GH;275,5521795;Africa
GI;1,49270533;Europe
GL;830,3532912;North America
GM;59,9609053;Africa
GN;279,7475892;Africa
GP;23,80318461;North America
GQ;94,49291305;Africa
GR;204,6857727;Europe
GT;186,1731592;North America
GW;107,2331322;Africa
GY;261,5856958;South America
HK;18,6438836;Asia
HN;188,8881111;North America
HR;134,1514232;Europe
HT;93,9845697;North America
HU;172,0842972;Europe
ID;784,5396471;Asia
IE;149,5740965;Europe
IL;82,95889373;Asia
IN;1022,972335;Asia
IQ;372,9937514;Asia
IR;724,2972618;Asia
IS;180,9096575;Europe
IT;309,6999997;Europe
JM;59,14849076;North America
JO;170,99878;Asia
JP;346,7820545;Asia
KE;430,6529716;Africa
KG;251,3652967;Asia
KH;240,0525573;Asia
KI;15,10722305;Oceania
KM;24,34528718;Africa
KN;9,253397181;North America
KP;195,8786284;Asia
KR;177,9515123;Asia
KW;75,31032832;Asia
KY;9,132206206;North America
KZ;930,0233619;Europe
LA;274,5465007;Asia
LB;57,67993525;Asia
LC;14,01417853;North America
LK;144,5140534;Asia
LR;188,2813154;Africa
LS;98,29698162;Africa
LT;144,1722427;Europe
LU;28,69057974;Europe
LV;143,3852058;Europe
LY;748,3842443;Africa
MA;475,6790752;Africa
MD;103,5714399;Europe
MG;432,2741652;Africa
MH;7,590394548;Oceania
MK;90,46934345;Europe
ML;628,2909031;Africa
MM;464,7292306;Asia
MN;705,9136823;Asia
MO;2,820947918;Asia
MP;12,3220865;Oceania
MQ;18,71205159;North America
MR;572,7844269;Africa
MS;5,698035485;North America
MT;10,02925341;Europe
MU;25,51359867;Africa
MV;9,739422266;Asia
MW;194,2025452;Africa
MX;791,3168715;North America
MY;323,9833814;Asia
MZ;505,1277281;Africa
NA;512,6114909;Africa
NC;77,89086231;Oceania
NE;635,0579704;Africa
NF;3,337790589;Oceania
NG;542,2586901;Africa
NI;203,944975;North America
NL;115,4357257;Europe
NO;321,0194111;Europe
NP;216,4466848;Asia
NR;2,585441473;Oceania
NU;9,097283683;Oceania
NZ;292,4418352;Oceania
OM;260,004491;Asia
PA;155,1757271;North America
PE;639,6068782;South America
PF;36,41973772;Oceania
PG;383,8314053;Oceania
PH;309,0193616;Asia
PK;530,1196901;Asia
PL;315,4849073;Europe
PM;8,776730169;North America
PN;3,867888914;Oceania
PR;53,83208341;North America
PS;44,62450726;Asia
PT;171,4885771;Europe
PW;12,45057888;Oceania
PY;359,8238219;South America
QA;60,33664035;Asia
RE;28,30522891;Africa
RO;275,4672614;Europe
RU;2331,366258;Europe
RW;91,56225086;Africa
SA;827,8735779;Asia
SB;97,36970761;Oceania
SC;12,03457512;Africa
SD;893,0985673;Africa
SE;378,4547392;Europe
SG;14,33974151;Asia
SH;11,42396837;Africa
SI;80,29747851;Europe
SK;124,9345572;Europe
SL;152,7756221;Africa
SM;4,406461512;Europe
SN;250,2370025;Africa
SO;450,5247242;Africa
SR;228,353948;South America
ST;17,51715531;Africa
SV;81,8386114;North America
SY;242,0130003;Asia
SZ;74,34468955;Africa
TC;11,69928421;North America
TD;639,3054711;Africa
TF;49,92041766;Antarctica
TG;134,4441404;Africa
TH;404,1405415;Asia
TJ;213,4210701;Asia
TK;1,784124116;Oceania
TM;394,1662789;Asia
TN;228,583831;Africa
TO;15,43035304;Oceania
TP;68,80800278;Asia
TR;498,4626944;Europe
TT;40,40952507;North America
TV;2,876813696;Oceania
TW;106,8614391;Asia
TZ;548,4810756;Africa
UA;438,3564271;Europe
UG;276,9923796;Africa
US;1741,610934;North America
UY;236,8353365;South America
UZ;377,374937;Asia
VC;11,12755794;North America
VE;538,7729898;South America
VG;6,978639738;North America
VN;324,6488251;Asia
VU;68,5507757;Oceania
WF;9,338999348;Oceania
WS;30,077179;Oceania
YE;417,3645593;Asia
YU;180,3404447;Europe
ZA;623,1452879;Africa
ZM;489,4532426;Africa
ZR;864,041197;Africa
ZW;352,6789657;Africa
