equipment,description,unit,gwp,ap,ctue,ctuh-c,ir,ctuh-nc,pm,wu,adpe,adpf,epf,epm,ept,gwpb,gwpt,gwplu,lu,odp,pocp,mips
computer,Computer (laptop + desktops w/ screen),/s,1.36E-06,8.81E-09,3.15E-05,4.39E-16,2.28E-06,2.12E-14,5.07E-14,9.26E-06,1.05E-10,2.10E-05,5.25E-12,1.59E-09,1.20E-08,4.34E-09,1.36E-06,2.07E-14,1.01E-07,3.29E-13,3.79E-09,7.20E-06
desktop_personal,Desktop w/o screen (personal usage),/s,1.42E-06,9.65E-09,3.63E-05,5.34E-16,5.54E-06,2.54E-14,5.50E-14,1.14E-05,1.16E-10,2.53E-05,3.81E-12,1.49E-09,1.28E-08,4.38E-09,1.41E-06,9.45E-16,1.30E-07,3.14E-13,4.09E-09,9.02E-06
desktop_professional,Desktop w/o screen (professional usage),/s,1.12E-06,7.64E-09,3.15E-05,4.30E-16,2.92E-06,2.21E-14,4.47E-14,1.13E-05,1.04E-10,1.81E-05,3.33E-12,1.21E-09,9.72E-09,4.50E-09,1.11E-06,7.81E-16,1.29E-07,2.65E-13,3.12E-09,7.23E-06
laptop,Laptop,/s,1.18E-06,7.20E-09,2.55E-05,2.93E-16,4.75E-07,1.35E-14,4.08E-14,5.28E-06,6.03E-11,1.58E-05,5.36E-12,1.36E-09,9.88E-09,2.94E-09,1.17E-06,2.40E-14,6.33E-08,3.38E-13,3.12E-09,4.73E-06
mobile,Mobile (smartphone + tablet),/s,1.00E-06,4.74E-09,1.48E-05,5.02E-15,1.88E-07,7.58E-15,2.65E-14,1.70E-06,3.65E-11,1.04E-05,3.11E-12,1.07E-09,6.12E-09,1.36E-09,7.83E-07,1.46E-14,1.90E-08,2.18E-13,1.97E-09,2.77E-06
network_fixed,Network fixed,/GB/km,6.67E-03,3.16E-05,-2.96E-02,1.18E-11,2.58E-02,-8.59E-11,2.53E-10,-1.05E-01,1.60E-07,1.26E-01,-3.59E-06,6.69E-06,4.97E-05,1.51E-05,6.66E-03,4.45E-12,-7.64E-03,8.75E-10,1.72E-05,4.37E-02
network_mobile,Network mobile,/GB/km,7.42E-03,1.88E-05,-1.91E-01,-6.26E-12,3.19E-02,-3.21E-10,2.59E-10,-4.14E-01,1.01E-06,1.7,-5.58E-06,6.62E-06,5.09E-05,3.69E-06,7.41E-03,2.10E-11,-4.91E-03,1.06E-09,1.73E-05,4.89E-02
screen,Desktop screen,/s,3.69E-07,2.57E-09,6.60E-06,1.75E-16,7.62E-07,8.90E-15,1.58E-14,3.89E-06,6.19E-11,7.12E-06,1.52E-12,6.04E-10,3.81E-09,1.99E-09,3.67E-07,1.50E-14,2.73E-08,2.73E-14,1.19E-09,2.78E-06
smartphone,Smartphone,/s,1.01E-06,4.70E-09,1.46E-05,2.04E-16,1.80E-07,7.48E-15,2.62E-14,1.69E-06,3.59E-11,1.03E-05,3.01E-12,1.08E-09,6.06E-09,1.35E-09,7.78E-07,1.37E-14,1.87E-08,2.14E-13,1.95E-09,2.74E-06
tablet,Tablet,/s,8.91E-07,5.55E-09,1.83E-05,9.66E-14,3.40E-07,9.36E-15,3.10E-14,1.81E-06,4.71E-11,1.17E-05,4.96E-12,7.29E-10,7.19E-09,1.70E-09,8.90E-07,3.21E-14,2.59E-08,2.89E-13,2.30E-09,3.28E-06
vm_large,VM large,/s,5.71E-06,3.17E-08,7.83E-05,1.29E-15,8.47E-06,4.22E-14,1.85E-13,2.35E-05,1.34E-10,9.1E-05,-8.24E-10,5.61E-09,4.85E-08,8.37E-09,5.71E-06,3.23E-15,-4.57E-07,1.48E-12,1.50E-08,2.65E-05
vm_medium,VM medium,/s,9.51E-07,5.30E-09,1.31E-05,2.15E-16,1.41E-06,7.04E-15,3.08E-14,3.90E-06,2.23E-11,1.52E-05,-1.37E-10,9.35E-10,8.09E-09,1.40E-09,9.51E-07,5.39E-16,-7.64E-08,2.47E-13,2.51E-09,4.44E-06
vm_small,VM small,/s,1.20E-07,6.69E-10,1.66E-06,2.74E-17,1.80E-07,8.94E-16,3.90E-15,5.01E-07,2.86E-12,1.92E-06,0,1.19E-10,1.02E-09,1.78E-10,1.20E-07,6.85E-17,-9.67E-09,3.11E-14,3.17E-10,5.61E-07
